;Frame time
0;1.84
1;1.84
2;1700059109.4597116
3;1700059109.4869022
4;1700059109.5170934
5;1700059109.5476563
6;1700059109.5794706
7;1700059109.6115484
8;1700059109.6417503
9;1700059109.6748457
10;1700059109.7043936
11;1700059109.7347727
12;1700059109.765919
13;1700059109.7967293
14;1700059109.8276856
15;1700059109.859009
16;1700059109.8908432
17;1700059109.9223058
18;1700059109.9542294
19;1700059109.9845722
20;1700059110.015677
21;1700059110.0474875
22;1700059110.0777006
23;1700059110.1092222
24;1700059110.140192
25;1700059110.1712763
26;1700059110.2027712
27;1700059110.2338693
28;1700059110.2647052
29;1700059110.2958984
30;1700059110.327171
31;1700059110.3590782
32;1700059110.3913684
33;1700059110.4225652
34;1700059110.4539654
35;1700059110.4849079
36;1700059110.5158248
37;1700059110.5477464
38;1700059110.579366
39;1700059110.6102357
40;1700059110.6412861
41;1700059110.6726
42;1700059110.7042212
43;1700059110.735401
44;1700059110.7826238
45;1700059110.8146582
46;1700059110.8463356
47;1700059110.8779287
48;1700059110.9091637
49;1700059110.940261
50;1700059110.9714484
51;1700059111.0016935
52;1700059111.03292
53;1700059111.0635154
54;1700059111.0946198
55;1700059111.1254232
56;1700059111.1563864
57;1700059111.187155
58;1700059111.2186406
59;1700059111.2505608
60;1700059111.28175
61;1700059111.3119261
62;1700059111.3431165
63;1700059111.373416
64;1700059111.4047253
65;1700059111.4360733
66;1700059111.4677386
67;1700059111.4996634
68;1700059111.5457942
69;1700059111.577713
70;1700059111.6097274
71;1700059111.6409912
72;1700059111.6719058
73;1700059111.702595
74;1700059111.7494755
75;1700059111.7963636
76;1700059111.8282628
77;1700059111.8591788
78;1700059111.9060562
79;1700059111.9379728
80;1700059111.968886
81;1700059112.0002127
82;1700059112.0321558
83;1700059112.0640442
84;1700059112.1109242
85;1700059112.1428387
86;1700059112.1747508
87;1700059112.221657
88;1700059112.2535427
89;1700059112.284483
90;1700059112.3163702
91;1700059112.3482857
92;1700059112.3801994
93;1700059112.412115
94;1700059112.4430418
95;1700059112.4749897
96;1700059112.50689
97;1700059112.5377817
98;1700059112.568698
99;1700059112.6006136
100;1700059112.6325655
101;1700059112.6634784
102;1700059112.6953955
103;1700059112.7422452
104;1700059112.7741835
105;1700059112.822023
106;1700059112.8529751
107;1700059112.8848941
108;1700059112.9158082
109;1700059112.9477246
110;1700059112.979637
111;1700059113.0115697
112;1700059113.0434341
113;1700059113.0743494
114;1700059113.1062653
115;1700059113.1382146
116;1700059113.1693497
117;1700059113.2012646
118;1700059113.2325182
119;1700059113.26447
120;1700059113.2953882
121;1700059113.3272903
122;1700059113.3591893
123;1700059113.3911629
124;1700059113.4230416
125;1700059113.4540002
126;1700059113.4849079
127;1700059113.5167913
128;1700059113.548742
129;1700059113.5806217
130;1700059113.6119022
131;1700059113.6435792
132;1700059113.6755364
133;1700059113.7068958
134;1700059113.737783
135;1700059113.7694612
136;1700059113.801474
137;1700059113.8333745
138;1700059113.8652482
139;1700059113.8965626
140;1700059113.9285054
141;1700059113.960411
142;1700059113.9923112
143;1700059114.0242236
144;1700059114.0551698
145;1700059114.0860884
146;1700059114.1179721
147;1700059114.149915
148;1700059114.1818032
149;1700059114.2137527
150;1700059114.2456324
151;1700059114.2775214
152;1700059114.3094265
153;1700059114.3413768
